Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0,0,1,1,1,0,28.59503422,0.031688903,0.000808779,1.613902581
0.001,0.001,1,1,1,0,28.5947728,0.031877402,-0.000793487,1.623502791
0.002,0.002,1,1,1,0,28.59492935,0.031464081,-0.000861716,1.602452527
0.003,0.003,1,1,1,0,28.59547837,0.030758511,0.001644287,1.566518142
0.004,0.004,1,1,1,0,28.59583087,0.03086729,0.00397332,1.572058185
0.005,0.005,1,1,1,0,28.59540768,0.031690113,0.003567524,1.613964242
0.006,0.006,1,1,1,0,28.59487245,0.031565502,0.001304504,1.607617858
0.007,0.007,1,1,1,0,28.59485522,0.030304119,-3.49E-05,1.543376133
0.008,0.008,1,1,1,0,28.59526118,0.029154588,0.000457503,1.484830976
0.009,0.009,1,1,1,0,28.5952705,0.027320068,0.001273379,1.391399678
0.01,0.01,1,1,1,0,28.59484274,0.02389336,0.000980366,1.216878856
0.011,0.011,1,1,1,0,28.59468739,0.020652916,0.000661165,1.051844407
0.012,0.012,1,1,1,0,28.59480446,0.018168427,0.001160968,0.925310407
0.013,0.013,1,1,1,0,28.59493801,0.016034395,0.002103839,0.81662502
0.014,0.014,1,1,1,0,28.59483417,0.013642106,0.002511665,0.694786776
0.015,0.015,1,1,1,0,28.59450923,0.010622106,0.001556315,0.540979451
0.016,0.016,1,1,1,0,28.5944839,0.007729512,-0.000113416,0.393660805
0.017,0.017,1,1,1,0,28.59435463,0.005180482,-0.000920445,0.263839777
0.018,0.018,1,1,1,0,28.59420441,0.0025413,-0.000422783,0.129427344
0.019,0.019,1,1,1,0,28.5942466,-0.000163913,0.001269057,-0.008348009
0.02,0.02,1,1,1,0,28.59427575,-0.002929941,0.002163444,-0.149220663
0.021,0.021,1,1,1,0,28.59457806,-0.005868357,0.001304988,-0.298872956
0.022,0.022,1,1,1,0,28.59495757,-0.008698367,0.000348743,-0.44300418
0.023,0.023,1,1,1,0,28.59514067,-0.011324883,0.000540614,-0.57677154
0.024,0.024,1,1,1,0,28.59487524,-0.013918057,0.001052693,-0.708840839
0.025,0.025,1,1,1,0,28.59456651,-0.016372744,0.000232588,-0.833857019
0.026,0.026,1,1,1,0,28.59452311,-0.019356422,-0.00164818,-0.985814501
